Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1047557,Airbag,Coleccionista de Discos,1hN24ZfaUUet0VcoIFWMHd,5,2005,spanish,0.327,0.957,4,-5.172,1,0.0623,0.139,1.26e-05,0.192,0.714,171.079,182760,4
141895,Jamie Cullum,Don't Let Me Be Misunderstood,0WxX9XbK5di8jHy9bG8YkB,25,2014,jazz,0.338,0.335,9,-9.732,0,0.043,0.696,0.0,0.119,0.532,177.666,178063,4
99944,Jamelão,Macunaíma,5wHZWmiCjE1YtqV0BuJTx5,0,2013,samba,0.693,0.633,11,-10.2,0,0.0733,0.151,0.0,0.0937,0.458,123.252,258440,4
611558,Honk!,Chantal (Dein Name is' Assi),4oJ8D91oB7rDiPPOwYJ9nj,45,2023,party,0.698,0.751,10,-5.394,1,0.136,0.00214,0.0,0.264,0.583,139.969,159118,4
150212,Bastille,"Torn Apart, Pt II (Bastille Vs. GRADES Vs. Lizzo)",6Gy30w4ebJg02BjLdULdNm,46,2014,rock,0.598,0.743,0,-7.492,0,0.14,0.106,1.65e-06,0.107,0.333,127.0,61796,4
569313,Rex Orange County,AMAZING,3OM6qQmdFV6uy61GIqpRtf,73,2022,pop,0.719,0.461,8,-8.191,1,0.0454,0.279,0.0,0.0875,0.548,123.915,209200,4
1458664,Los Ovnis,Un Hombre Respetable,7KSu5t6aPxhQVhCb4X4N5K,6,2011,rock-n-roll,0.565,0.538,10,-6.714,0,0.0353,0.597,0.0,0.352,0.721,83.894,115840,4
130805,INXS,Mediate,4juJtamsPt32uIdTfD2CKK,13,2014,funk,0.778,0.519,10,-7.535,1,0.0562,0.00161,0.374,0.0806,0.172,108.849,155160,4
425650,Sodom,Euthanasia,5JBiLRg5eU4O7AhcHdrY7S,9,2020,black-metal,0.477,0.997,4,-5.377,0,0.0953,3.74e-05,0.0231,0.668,0.11,110.017,234120,4
1088883,Current 93,Good Morning Great Moloch,13bNoxz7drby6waupfWIjK,11,2006,industrial,0.204,0.297,1,-11.604,0,0.0419,0.00264,0.511,0.0637,0.0476,120.505,209147,4
439941,Imad,By Your Side,33pkvSE2Bh9KHLz7X4fLeS,60,2020,electro,0.61,0.783,3,-8.173,0,0.154,0.0307,2.87e-06,0.229,0.279,120.021,146008,4
502586,General Surgery,From the Anatomical Deeps (Dead Infection),3NN0ozJ3BTDWnhr3mB1waJ,2,2021,grindcore,0.226,0.935,6,-9.236,1,0.101,2.97e-05,0.459,0.139,0.079,109.756,133492,3
1388713,Maelo Ruiz,Para Ti,5Gh3eGjl8Br5oHis9rKiZm,11,2010,salsa,0.774,0.618,10,-6.896,1,0.0373,0.767,0.0,0.126,0.889,91.091,270347,4
